corr_method,x,divkFa,CdivkF4
Chevy-CCD,0.12280701754385964,-1.0,0.001906975630132589
Chevy-CCD,0.12280701754385964,-0.5,0.004043366343459784
Chevy-CCD,0.12280701754385964,0.0,0.00857316219939666
Chevy-CCD,0.12280701754385964,0.2,0.011579777637823562
Chevy-CCD,0.12280701754385964,0.4,0.015640815725016306
Chevy-CCD,0.3333333333333333,-1.0,0.00408147482936429
Chevy-CCD,0.3333333333333333,-0.5,0.009989877525625046
Chevy-CCD,0.3333333333333333,0.0,0.0244513704357531
Chevy-CCD,0.3333333333333333,0.2,0.03497843881109368
Chevy-CCD,0.3333333333333333,0.4,0.050037734485115844
Chevy-CCD,0.47368421052631576,-1.0,0.00686112975161728
Chevy-CCD,0.47368421052631576,-0.5,0.014722852417940479
Chevy-CCD,0.47368421052631576,0.0,0.031592812141376755
Chevy-CCD,0.47368421052631576,0.2,0.04287723935625397
FN-DMC,0.12280701754385964,0.0,0.008654094085407422
FN-DMC,0.12280701754385964,0.01,0.00883381431280986
FN-DMC,0.12280701754385964,0.02,0.009017938937293121
FN-DMC,0.12280701754385964,0.03,0.009206482990981068
FN-DMC,0.12280701754385964,0.04,0.009399460796351547
FN-DMC,0.12280701754385964,0.05,0.00959688586791482
FN-DMC,0.12280701754385964,0.06,0.009798770814682733
FN-DMC,0.12280701754385964,0.07,0.010005127243982281
FN-DMC,0.12280701754385964,0.08,0.010215965667175447
FN-DMC,0.12280701754385964,0.09,0.010431295407852014
FN-DMC,0.12280701754385964,0.1,0.010651124513062804
FN-DMC,0.12280701754385964,0.11,0.01087545966815809
FN-DMC,0.12280701754385964,0.12,0.011104306115789019
FN-DMC,0.12280701754385964,0.13,0.0113376675796192
FN-DMC,0.12280701754385964,0.14,0.01157554619327879
FN-DMC,0.12280701754385964,0.15,0.01181794243507485
FN-DMC,0.12280701754385964,0.16,0.012064855068948985
FN-DMC,0.12280701754385964,0.17,0.012316281092146927
FN-DMC,0.12280701754385964,0.18,0.012572215690034466
FN-DMC,0.12280701754385964,0.19,0.012832652198460468
FN-DMC,0.12280701754385964,0.2,0.013097582074030384
FN-DMC,0.12280701754385964,0.21,0.013366994872613495
FN-DMC,0.12280701754385964,0.22,0.013640878236363617
FN-DMC,0.12280701754385964,0.23,0.013919217889487159
FN-DMC,0.12280701754385964,0.24,0.014201997642943808
FN-DMC,0.12280701754385964,0.25,0.014489199408214836
FN-DMC,0.12280701754385964,0.26,0.014780803220221645
FN-DMC,0.12280701754385964,0.27,0.015076787269423622
FN-DMC,0.12280701754385964,0.28,0.015377127943069696
FN-DMC,0.12280701754385964,0.29,0.015681799875522918
FN-DMC,0.12280701754385964,0.3,0.015990776007521728
FN-DMC,0.12280701754385964,0.31,0.016304027654186485
FN-DMC,0.12280701754385964,0.32,0.016621524581525195
FN-DMC,0.12280701754385964,0.33,0.01694323509113857
FN-DMC,0.12280701754385964,0.34,0.017269126112772645
FN-DMC,0.12280701754385964,0.35000000000000003,0.017599163304316493
FN-DMC,0.12280701754385964,0.36,0.017933311158794506
FN-DMC,0.12280701754385964,0.37,0.018271533117857282
FN-DMC,0.12280701754385964,0.38,0.01861379169123217
FN-DMC,0.12280701754385964,0.39,0.018960048581555384
FN-DMC,0.12280701754385964,0.4,0.01931026481397175
FN-DMC,0.12280701754385964,0.41000000000000003,0.019664400869856043
FN-DMC,0.12280701754385964,0.42,0.02002241682398228
FN-DMC,0.12280701754385964,0.43,0.02038427248444363
FN-DMC,0.12280701754385964,0.44,0.02074992753460681
FN-DMC,0.12280701754385964,0.45,0.02111934167637041
FN-DMC,0.12280701754385964,0.46,0.02149247477398721
FN-DMC,0.12280701754385964,0.47000000000000003,0.021869286997705833
FN-DMC,0.12280701754385964,0.48,0.022249738966487517
FN-DMC,0.12280701754385964,0.49,0.022633791889058726
FN-DMC,0.12280701754385964,0.5,0.023021407702570575
FN-DMC,0.12280701754385964,0.51,0.023412549208150862
FN-DMC,0.12280701754385964,0.52,0.023807180202653908
FN-DMC,0.12280701754385964,0.53,0.02420526560593735
FN-DMC,0.12280701754385964,0.54,0.02460677158302359
FN-DMC,0.12280701754385964,0.55,0.025011665660535788
FN-DMC,0.12280701754385964,0.56,0.0254199168368346
FN-DMC,0.12280701754385964,0.5700000000000001,0.025831495685321684
FN-DMC,0.12280701754385964,0.58,0.026246374450418983
FN-DMC,0.12280701754385964,0.59,0.026664527135778847
FN-DMC,0.12280701754385964,0.6,0.027085929584328303
FN-DMC,0.12280701754385964,0.61,0.027510559549801753
FN-DMC,0.12280701754385964,0.62,0.02793839675946848
FN-DMC,0.12280701754385964,0.63,0.028369422967815486
FN-DMC,0.12280701754385964,0.64,0.028803622001000787
FN-DMC,0.12280701754385964,0.65,0.02924097979194774
FN-DMC,0.12280701754385964,0.66,0.029681484406006552
FN-DMC,0.12280701754385964,0.67,0.03012512605716444
FN-DMC,0.12280701754385964,0.68,0.030571897114840506
FN-DMC,0.12280701754385964,0.6900000000000001,0.031021792101355257
FN-DMC,0.12280701754385964,0.7000000000000001,0.031474807680216724
FN-DMC,0.12280701754385964,0.71,0.0319309426354158
FN-DMC,0.12280701754385964,0.72,0.032390197841972036
FN-DMC,0.12280701754385964,0.73,0.032852576228016656
FN-DMC,0.21212121212121213,0.0,0.014719137940157303
FN-DMC,0.21212121212121213,0.01,0.015031795228139952
FN-DMC,0.21212121212121213,0.02,0.015352644641726415
FN-DMC,0.21212121212121213,0.03,0.015681734764023576
FN-DMC,0.21212121212121213,0.04,0.016019111970470908
FN-DMC,0.21212121212121213,0.05,0.0163648201315371
FN-DMC,0.21212121212121213,0.06,0.016718900317982704
FN-DMC,0.21212121212121213,0.07,0.017081390510351194
FN-DMC,0.21212121212121213,0.08,0.017452325314373792
FN-DMC,0.21212121212121213,0.09,0.017831735683986955
FN-DMC,0.21212121212121213,0.1,0.018219648653662813
FN-DMC,0.21212121212121213,0.11,0.018616087081743525
FN-DMC,0.21212121212121213,0.12,0.01902106940644887
FN-DMC,0.21212121212121213,0.13,0.01943460941619369
FN-DMC,0.21212121212121213,0.14,0.019856716035806365
FN-DMC,0.21212121212121213,0.15,0.02028739313018304
FN-DMC,0.21212121212121213,0.16,0.020726639326843547
FN-DMC,0.21212121212121213,0.17,0.021174447858775387
FN-DMC,0.21212121212121213,0.18,0.021630806428860623
FN-DMC,0.21212121212121213,0.19,0.022095697097079495
FN-DMC,0.21212121212121213,0.2,0.022569096191571977
FN-DMC,0.21212121212121213,0.21,0.023050974244518064
FN-DMC,0.21212121212121213,0.22,0.023541295953666715
FN-DMC,0.21212121212121213,0.23,0.02404002017020579
FN-DMC,0.21212121212121213,0.24,0.02454709991351995
FN-DMC,0.21212121212121213,0.25,0.02506248241323226
FN-DMC,0.21212121212121213,0.26,0.02558610917876854
FN-DMC,0.21212121212121213,0.27,0.02611791609652333
FN-DMC,0.21212121212121213,0.28,0.026657833554542553
FN-DMC,0.21212121212121213,0.29,0.027205786594472904
FN-DMC,0.21212121212121213,0.3,0.02776169509036209
FN-DMC,0.21212121212121213,0.31,0.028325473953728822
FN-DMC,0.21212121212121213,0.32,0.02889703336415834
FN-DMC,0.21212121212121213,0.33,0.02947627902451863
FN-DMC,0.21212121212121213,0.34,0.03006311243973697
FN-DMC,0.21212121212121213,0.35000000000000003,0.030657431217925586
FN-DMC,0.21212121212121213,0.36,0.03125912939250164
FN-DMC,0.21212121212121213,0.37,0.0318680977638105
FN-DMC,0.21212121212121213,0.38,0.03248422425863403
FN-DMC,0.21212121212121213,0.39,0.03310739430584827
FN-DMC,0.21212121212121213,0.4,0.03373749122638797
FN-DMC,0.21212121212121213,0.41000000000000003,0.03437439663558012
FN-DMC,0.21212121212121213,0.42,0.03501799085582648
FN-DMC,0.21212121212121213,0.43,0.035668153337544174
FN-DMC,0.21212121212121213,0.44,0.036324763086218056
FN-DMC,0.21212121212121213,0.45,0.03698769909337553
FN-DMC,0.21212121212121213,0.46,0.037656840769266994
FN-DMC,0.21212121212121213,0.47000000000000003,0.03833206837502126
FN-DMC,0.21212121212121213,0.48,0.03901326345204665
FN-DMC,0.21212121212121213,0.49,0.039700309246464324
FN-DMC,0.21212121212121213,0.5,0.04039309112639064
FN-DMC,0.21212121212121213,0.51,0.041091496989930205
FN-DMC,0.21212121212121213,0.52,0.04179541766179976
FN-DMC,0.21212121212121213,0.53,0.04250474727657479
FN-DMC,0.21212121212121213,0.54,0.04321938364663618
FN-DMC,0.21212121212121213,0.55,0.043939228612990905
FN-DMC,0.21212121212121213,0.56,0.04466418837724982
FN-DMC,0.21212121212121213,0.5700000000000001,0.045394173813163914
FN-DMC,0.21212121212121213,0.58,0.04612910075625031
FN-DMC,0.21212121212121213,0.59,0.04686889027017601
FN-DMC,0.21212121212121213,0.6,0.04761346888871251
FN-DMC,0.21212121212121213,0.61,0.0483627688322265
FN-DMC,0.21212121212121213,0.62,0.049116728197827954
FN-DMC,0.21212121212121213,0.63,0.049875291122458525
FN-DMC,0.21212121212121213,0.64,0.05063840791836689
FN-DMC,0.21212121212121213,0.65,0.05140603518058322
FN-DMC,0.21212121212121213,0.66,0.05217813586617096
FN-DMC,0.21212121212121213,0.67,0.052954679345200074
FN-DMC,0.21212121212121213,0.68,0.05373564142354857
FN-DMC,0.21212121212121213,0.6900000000000001,0.054521004337800265
FN-DMC,0.21212121212121213,0.7000000000000001,0.055310756722662655
FN-DMC,0.21212121212121213,0.71,0.05610489355147983
FN-DMC,0.21212121212121213,0.72,0.05690341605056039
FN-DMC,0.21212121212121213,0.73,0.05770633158817782
FN-DMC,0.25925925925925924,0.0,0.0178205451808062
FN-DMC,0.25925925925925924,0.01,0.01820364539646521
FN-DMC,0.25925925925925924,0.02,0.0185971399894996
FN-DMC,0.25925925925925924,0.03,0.019001103341301565
FN-DMC,0.25925925925925924,0.04,0.019415606491636914
FN-DMC,0.25925925925925924,0.05,0.019840716692607875
FN-DMC,0.25925925925925924,0.06,0.02027649696654948
FN-DMC,0.25925925925925924,0.07,0.02072300567034728
FN-DMC,0.25925925925925924,0.08,0.021180296068699013
FN-DMC,0.25925925925925924,0.09,0.021648415918861574
FN-DMC,0.25925925925925924,0.1,0.022127407069427073
FN-DMC,0.25925925925925924,0.11,0.022617305075656634
FN-DMC,0.25925925925925924,0.12,0.02311813883386838
FN-DMC,0.25925925925925924,0.13,0.023629930237326128
FN-DMC,0.25925925925925924,0.14,0.02415269385600737
FN-DMC,0.25925925925925924,0.15,0.024686436642543975
FN-DMC,0.25925925925925924,0.16,0.025231157666526182
FN-DMC,0.25925925925925924,0.17,0.025786847879240484
FN-DMC,0.25925925925925924,0.18,0.02635348991077559
FN-DMC,0.25925925925925924,0.19,0.026931057901278553
FN-DMC,0.25925925925925924,0.2,0.02751951736797514
FN-DMC,0.25925925925925924,0.21,0.028118825109387572
FN-DMC,0.25925925925925924,0.22,0.02872892914798746
FN-DMC,0.25925925925925924,0.23,0.02934976871231544
FN-DMC,0.25925925925925924,0.24,0.029981274259381734
FN-DMC,0.25925925925925924,0.25,0.030623367537935285
FN-DMC,0.25925925925925924,0.26,0.03127596169295544
FN-DMC,0.25925925925925924,0.27,0.031938961411479595
FN-DMC,0.25925925925925924,0.28,0.03261226310963616
FN-DMC,0.25925925925925924,0.29,0.03329575516050494
FN-DMC,0.25925925925925924,0.3,0.033989318162179205
FN-DMC,0.25925925925925924,0.31,0.03469282524515652
FN-DMC,0.25925925925925924,0.32,0.03540614241794184
FN-DMC,0.25925925925925924,0.33,0.036129128949506116
FN-DMC,0.25925925925925924,0.34,0.03686163778701133
FN-DMC,0.25925925925925924,0.35000000000000003,0.0376035160069874
FN-DMC,0.25925925925925924,0.36,0.03835460529793198
FN-DMC,0.25925925925925924,0.37,0.039114742472100464
FN-DMC,0.25925925925925924,0.38,0.039883760004063726
FN-DMC,0.25925925925925924,0.39,0.04066148659343529
FN-DMC,0.25925925925925924,0.4,0.04144774774901075
FN-DMC,0.25925925925925924,0.41000000000000003,0.04224236639141937
FN-DMC,0.25925925925925924,0.42,0.04304516347126506
FN-DMC,0.25925925925925924,0.43,0.043855958599628694
FN-DMC,0.25925925925925924,0.44,0.044674570687720586
FN-DMC,0.25925925925925924,0.45,0.04550081859240801
FN-DMC,0.25925925925925924,0.46,0.04633452176430182
FN-DMC,0.25925925925925924,0.47000000000000003,0.04717550089506531
FN-DMC,0.25925925925925924,0.48,0.048023578560611346
FN-DMC,0.25925925925925924,0.49,0.04887857985687685
FN-DMC,0.25925925925925924,0.5,0.04974033302490989
FN-DMC,0.25925925925925924,0.51,0.05060867006207117
FN-DMC,0.25925925925925924,0.52,0.05148342731623946
FN-DMC,0.25925925925925924,0.53,0.05236444606001844
FN-DMC,0.25925925925925924,0.54,0.05325157304206923
FN-DMC,0.25925925925925924,0.55,0.05414466101283862
FN-DMC,0.25925925925925924,0.56,0.05504356922211485
FN-DMC,0.25925925925925924,0.5700000000000001,0.05594816388602149
FN-DMC,0.25925925925925924,0.58,0.05685831862125222
FN-DMC,0.25925925925925924,0.59,0.05777391484455548
FN-DMC,0.25925925925925924,0.6,0.05869484213569397
FN-DMC,0.25925925925925924,0.61,0.05962099856233151
FN-DMC,0.25925925925925924,0.62,0.06055229096553369
FN-DMC,0.25925925925925924,0.63,0.061488635204809586
FN-DMC,0.25925925925925924,0.64,0.06242995636186704
FN-DMC,0.25925925925925924,0.65,0.06337618890250145
FN-DMC,0.25925925925925924,0.66,0.0643272767962861
FN-DMC,0.25925925925925924,0.67,0.06528317359398003
FN-DMC,0.25925925925925924,0.68,0.06624384246281297
FN-DMC,0.25925925925925924,0.6900000000000001,0.0672092561800471
FN-DMC,0.25925925925925924,0.7000000000000001,0.06817939708544943
FN-DMC,0.25925925925925924,0.71,0.06915425699353332
FN-DMC,0.25925925925925924,0.72,0.07013383706664525
FN-DMC,0.25925925925925924,0.73,0.07111814765017789
FN-DMC,0.3333333333333333,0.0,0.02254397612927724
FN-DMC,0.3333333333333333,0.01,0.023037922341868248
FN-DMC,0.3333333333333333,0.02,0.02354600963919332
FN-DMC,0.3333333333333333,0.03,0.024068364447383434
FN-DMC,0.3333333333333333,0.04,0.024605107584641097
FN-DMC,0.3333333333333333,0.05,0.02515635352023201
FN-DMC,0.3333333333333333,0.06,0.025722209640171443
FN-DMC,0.3333333333333333,0.07,0.026302775523727413
FN-DMC,0.3333333333333333,0.08,0.026898142234918918
FN-DMC,0.3333333333333333,0.09,0.02750839163321828
FN-DMC,0.3333333333333333,0.1,0.028133595707668827
FN-DMC,0.3333333333333333,0.11,0.02877381593860401
FN-DMC,0.3333333333333333,0.12,0.029429102691099284
FN-DMC,0.3333333333333333,0.13,0.030099494644204756
FN-DMC,0.3333333333333333,0.14,0.030785018259893427
FN-DMC,0.3333333333333333,0.15,0.03148568729551808
FN-DMC,0.3333333333333333,0.16,0.03220150236339865
FN-DMC,0.3333333333333333,0.17,0.032932450540963186
FN-DMC,0.3333333333333333,0.18,0.03367850503463849
FN-DMC,0.3333333333333333,0.19,0.03443962490043479
FN-DMC,0.3333333333333333,0.2,0.03521575482388987
FN-DMC,0.3333333333333333,0.21,0.03600682496173804
FN-DMC,0.3333333333333333,0.22,0.036812750847346365
FN-DMC,0.3333333333333333,0.23,0.03763343336161783
FN-DMC,0.3333333333333333,0.24,0.03846875877070202
FN-DMC,0.3333333333333333,0.25,0.03931859883147858
FN-DMC,0.3333333333333333,0.26,0.040182810965391176
FN-DMC,0.3333333333333333,0.27,0.04106123850081269
FN-DMC,0.3333333333333333,0.28,0.04195371098371715
FN-DMC,0.3333333333333333,0.29,0.04286004455602575
FN-DMC,0.3333333333333333,0.3,0.04378004240058356
FN-DMC,0.3333333333333333,0.31,0.044713495251315
FN-DMC,0.3333333333333333,0.32,0.04566018196670296
FN-DMC,0.3333333333333333,0.33,0.0466198701643392
FN-DMC,0.3333333333333333,0.34,0.04759231691390922
FN-DMC,0.3333333333333333,0.35000000000000003,0.048577269485602446
FN-DMC,0.3333333333333333,0.36,0.049574466150583196
FN-DMC,0.3333333333333333,0.37,0.050583637029821986
FN-DMC,0.3333333333333333,0.38,0.05160450498727241
FN-DMC,0.3333333333333333,0.39,0.05263678656308858
FN-DMC,0.3333333333333333,0.4,0.05368019294231516
FN-DMC,0.3333333333333333,0.41000000000000003,0.054734430954246516
FN-DMC,0.3333333333333333,0.42,0.055799204097448166
FN-DMC,0.3333333333333333,0.43,0.056874213585260604
FN-DMC,0.3333333333333333,0.44,0.05795915940646753
FN-DMC,0.3333333333333333,0.45,0.05905374139570623
FN-DMC,0.3333333333333333,0.46,0.06015766030812912
FN-DMC,0.3333333333333333,0.47000000000000003,0.06127061889279296
FN-DMC,0.3333333333333333,0.48,0.06239232295925571
FN-DMC,0.3333333333333333,0.49,0.06352248243190077
FN-DMC,0.3333333333333333,0.5,0.0646608123865839
FN-DMC,0.3333333333333333,0.51,0.06580703406430936
FN-DMC,0.3333333333333333,0.52,0.06696087585678714
FN-DMC,0.3333333333333333,0.53,0.06812207425890086
FN-DMC,0.3333333333333333,0.54,0.06929037478332807
FN-DMC,0.3333333333333333,0.55,0.07046553283279348
FN-DMC,0.3333333333333333,0.56,0.0716473145257058
FN-DMC,0.3333333333333333,0.5700000000000001,0.07283549747122305
FN-DMC,0.3333333333333333,0.58,0.07402987149011062
FN-DMC,0.3333333333333333,0.59,0.07523023927809637
FN-DMC,0.3333333333333333,0.6,0.07643641700878584
FN-DMC,0.3333333333333333,0.61,0.07764823487357607
FN-DMC,0.3333333333333333,0.62,0.07886553755639408
FN-DMC,0.3333333333333333,0.63,0.0800881846414846
FN-DMC,0.3333333333333333,0.64,0.0813160509528772
FN-DMC,0.3333333333333333,0.65,0.08254902682457246
FN-DMC,0.3333333333333333,0.66,0.08378701830089728
FN-DMC,0.3333333333333333,0.67,0.08502994726688938
FN-DMC,0.3333333333333333,0.68,0.08627775150897436
FN-DMC,0.3333333333333333,0.6900000000000001,0.08753038470659659
FN-DMC,0.3333333333333333,0.7000000000000001,0.08878781635584972
FN-DMC,0.3333333333333333,0.71,0.09005003162652893
FN-DMC,0.3333333333333333,0.72,0.09131703115438226
FN-DMC,0.3333333333333333,0.73,0.0925888307706809
FN-DMC,0.3684210526315789,0.0,0.024714778901555358
FN-DMC,0.3684210526315789,0.01,0.025261240014629496
FN-DMC,0.3684210526315789,0.02,0.025823739531545677
FN-DMC,0.3684210526315789,0.03,0.026402433486619265
FN-DMC,0.3684210526315789,0.04,0.02699747102494458
FN-DMC,0.3684210526315789,0.05,0.027608993495485377
FN-DMC,0.3684210526315789,0.06,0.0282371335524319
FN-DMC,0.3684210526315789,0.07,0.028882014269864396
FN-DMC,0.3684210526315789,0.08,0.029543748274831232
FN-DMC,0.3684210526315789,0.09,0.030222436903986724
FN-DMC,0.3684210526315789,0.1,0.030918169388936517
FN-DMC,0.3684210526315789,0.11,0.03163102207540653
FN-DMC,0.3684210526315789,0.12,0.032361057681284826
FN-DMC,0.3684210526315789,0.13,0.03310832459848296
FN-DMC,0.3684210526315789,0.14,0.03387285624342508
FN-DMC,0.3684210526315789,0.15,0.0346546704607991
FN-DMC,0.3684210526315789,0.16,0.035453768984994895
FN-DMC,0.3684210526315789,0.17,0.036270136963411116
FN-DMC,0.3684210526315789,0.18,0.037103742545534904
FN-DMC,0.3684210526315789,0.19,0.03795453654138979
FN-DMC,0.3684210526315789,0.2,0.03882245215260748
FN-DMC,0.3684210526315789,0.21,0.039707404779011024
FN-DMC,0.3684210526315789,0.22,0.04060929190320244
FN-DMC,0.3684210526315789,0.23,0.041527993055229244
FN-DMC,0.3684210526315789,0.24,0.04246336985896446
FN-DMC,0.3684210526315789,0.25,0.04341526616137674
FN-DMC,0.3684210526315789,0.26,0.04438350824539304
FN-DMC,0.3684210526315789,0.27,0.045367905126571205
FN-DMC,0.3684210526315789,0.28,0.04636824893330476
FN-DMC,0.3684210526315789,0.29,0.047384315369782944
FN-DMC,0.3684210526315789,0.3,0.04841586426042751
FN-DMC,0.3684210526315789,0.31,0.04946264017402853
FN-DMC,0.3684210526315789,0.32,0.050524373125308386
FN-DMC,0.3684210526315789,0.33,0.05160077935115827
FN-DMC,0.3684210526315789,0.34,0.05269156215832156
FN-DMC,0.3684210526315789,0.35000000000000003,0.05379641283884334
FN-DMC,0.3684210526315789,0.36,0.05491501164917126
FN-DMC,0.3684210526315789,0.37,0.05604702884838323
FN-DMC,0.3684210526315789,0.38,0.05719212579063191
FN-DMC,0.3684210526315789,0.39,0.058349956066543224
FN-DMC,0.3684210526315789,0.4,0.05952016668798362
FN-DMC,0.3684210526315789,0.41000000000000003,0.060702399310323785
FN-DMC,0.3684210526315789,0.42,0.061896291486077976
FN-DMC,0.3684210526315789,0.43,0.06310147794358682
FN-DMC,0.3684210526315789,0.44,0.06431759188424295
FN-DMC,0.3684210526315789,0.45,0.06554426629163142
FN-DMC,0.3684210526315789,0.46,0.06678113524587313
FN-DMC,0.3684210526315789,0.47000000000000003,0.06802783523641998
FN-DMC,0.3684210526315789,0.48,0.06928400646655448
FN-DMC,0.3684210526315789,0.49,0.07054929414289597
FN-DMC,0.3684210526315789,0.5,0.07182334974330737
FN-DMC,0.3684210526315789,0.51,0.07310583225673287
